,t,biod0_x,biod0_y,biod1_x,biod1_y,biod2_x,biod2_y
0,0,0.43507602336330276,0.38630198358455947,0.2470781648104621,0.3315068300661675,0.9419160237941587,0.938766493634948
1,1,0.438551869921073,0.38379482630077916,0.24668704284631543,0.32723900034276737,0.9403801611532504,0.9347654346642458
2,2,0.4418635301973411,0.3810744856689164,0.2466348323013479,0.32295360409530444,0.938844298512342,0.9307643756935434
3,3,0.4449867191611594,0.3781396879527085,0.24693704117888668,0.31867855827881164,0.9373084358714335,0.9267633167228412
4,4,0.4478953940230093,0.3749921559851476,0.24760617648941835,0.3144454028511224,0.9357725732305252,0.9227622577521388
5,5,0.45056209293120647,0.3716371501920385,0.2486508509520784,0.3102889618006753,0.9342367105896168,0.9187611987814366
6,6,0.4529584227864467,0.3680839896041027,0.25007488783729837,0.306246751280637,0.9327008479487083,0.9147601398107342
7,7,0.45505570878945745,0.36434651206432395,0.2518764914000249,0.3023581047884052,0.9311649853078,0.910759080840032
8,8,0.45682580803561734,0.36044342410765173,0.25404756619599744,0.298663002466538,0.9296291226668916,0.9067580218693297
9,9,0.4582420750039518,0.35639848469980145,0.2565732797322564,0.2952006162847937,0.9280932600259832,0.9027569628986274
10,10,0.4592804486087784,0.3522404650755602,0.25943196590136414,0.29200761451133234,0.9265573973850748,0.8987559039279251
11,11,0.4599206098963817,0.34800283124703874,0.2625954579429918,0.28911630597689086,0.9250215347441664,0.8947548449572228
12,12,0.4601471387104784,0.34372310793411776,0.26602991600316683,0.2865527450215644,0.923485672103258,0.8907537859865206
13,13,0.4599505797526774,0.33944190348736636,0.269697172892629,0.28433495922364177,0.9219498094623496,0.8867527270158182
14,14,0.4593283168962453,0.3352016044558969,0.2735565600883511,0.2824715007689742,0.9204139468214412,0.882751668045116
15,15,0.4582851527224509,0.3310447841031168,0.2775670936869108,0.2809605516653974,0.9188780841805329,0.8787506090744137
16,16,0.45683350066457035,0.32701240847061097,0.28168980216979694,0.2797898161256986,0.9173422215396244,0.8747495501037114
17,17,0.45499312130192476,0.3231419626642052,0.285889885134197,0.27893737842654864,0.9158063588987161,0.8707484911330091
18,18,0.4527903722837578,0.3194656542302269,0.2901383495547872,0.2783735548674851,0.9142704962578077,0.8667474321623068
19,19,0.45025699165560673,0.3160088740041083,0.29441283531591406,0.27806352516455496,0.9127346336168992,0.8627463731916045
20,20,0.4474284937312269,0.31278909972156077,0.29869753511981667,0.2779702807051362,0.9111987709759909,0.8587453142209022
21,21,0.44434231861635354,0.30981540335186997,0.3029823653302327,0.2780573267083847,0.9096629083350825,0.8547442552501999
22,22,0.44103592913317907,0.30708865885992925,0.3072617205701033,0.2782907055201217,0.908127045694174,0.8507431962794976
23,23,0.43754507420232935,0.30460244109180484,0.3111621685112605,0.27651479651426064,0.9065911830532657,0.8467421373087953
24,24,0.4366893901347123,0.30040301830823063,0.3126681059937659,0.2725023783858048,0.9050553204123573,0.8427410783380931
25,25,0.43865869777823296,0.2965965534989954,0.31249193044193346,0.26822028671073384,0.9035194577714488,0.8387400193673907
26,26,0.4417733645096291,0.29365271279489646,0.31095828003179665,0.2642183792457538,0.9019835951305405,0.8347389603966885
27,27,0.44585450711215513,0.2923444230729226,0.3080059374018606,0.2611117701724654,0.9004477324896321,0.8307379014259861
28,28,0.4501355526330756,0.29254441353915295,0.3041400131695251,0.25926191159175815,0.8986954767553532,0.8268267702877522
29,29,0.45431188287636165,0.293506501184739,0.30030583422383256,0.257347122112159,0.8967626992100106,0.8230016274278064
30,30,0.45837984504961404,0.2948552156451655,0.2965059838463684,0.25536508173727734,0.8946812562069817,0.8192553036345501
31,31,0.4623100514336168,0.29656425769202077,0.2927429653252183,0.2533139750729965,0.8924786267672635,0.8155789235548981
32,32,0.46607986264118123,0.2986028528941385,0.28901922280343945,0.25119239816647837,0.8901778897548861,0.8119631309531782
33,33,0.46967393952778796,0.3009373674629374,0.2853371634372019,0.24899927578907266,0.8877980539398164,0.8083989019436886
34,34,0.47308419607680613,0.303533036395728,0.2816991811189995,0.24673378873520926,0.8853545582920676,0.8048780105852102
35,35,0.47630916107264554,0.30635561459914173,0.27810768164554656,0.2443953109245464,0.8828598166780279,0.8013932421254767
36,36,0.4793528633116787,0.3093727694872574,0.2745651089679831,0.24198335616482222,0.8803237356271674,0.7979384425882761
37,37,0.48222343925213346,0.31255508636476304,0.2710739720586623,0.23949753436526508,0.8777541726376701,0.7945084727659919
38,38,0.4849316898537461,0.3158766410636413,0.26763687194909147,0.23693751683103537,0.8751573255473991,0.7910991132765091
39,39,0.4874897777485832,0.31931517756352945,0.26425652859990734,0.23430301008775262,0.8725380553080986,0.7877069501978394
40,40,0.4899101801690268,0.3228519839000266,0.2609358074066768,0.2315937375478252,0.8699001495594668,0.7843292586488506
41,41,0.4922049329009729,0.3264715773631107,0.257677745280607,0.2288094282759509,0.8672465358604836,0.7809638936945932
42,42,0.49438514179635457,0.33016129769279345,0.25448557634360386,0.2259498121449977,0.8645794531782386,0.7776091929769666
43,43,0.4964607085639631,0.33391088027382493,0.25136275733341046,0.22301462077673048,0.8619005892734021,0.7742638925243704
44,44,0.4984402109259483,0.33771205342663846,0.2483129928299961,0.22000359380699255,0.8592111904629758,0.7709270555524385
45,45,0.5003308838420658,0.3415581817218251,0.2453402603971536,0.2169164901771314,0.8565121491179002,0.7675980132342411
46,46,0.5021386600795336,0.3454439624688594,0.2424488356915133,0.2137531043153706,0.8538040732584149,0.7642763160659176
47,47,0.5038682400150772,0.34936517403996087,0.23964331753057003,0.21051328722371357,0.8510873417685603,0.7609616943754666
48,48,0.5055231700458391,0.35331847057981947,0.23692865283468434,0.20719697262348527,0.8483621480569347,0.7576540265909253
49,49,0.5071059158450197,0.35730121619985994,0.23431016126576534,0.20380420843446834,0.8456285344257262,0.754353314023305
50,50,0.5086179211454486,0.3613113517225388,0.2317935592761067,0.20033519396859742,0.8428864189530924,0.7510596610856812
51,51,0.5100596451841506,0.36534728764063806,0.22938498315203143,0.19679032330899504,0.8401356163250376,0.7477732600389031
52,52,0.5114305727401566,0.3694078177261022,0.22709101048522254,0.19317023541742262,0.8373758537543531,0.7444943795146657
53,53,0.5127291900056161,0.37349204839253447,0.22491867932600315,0.18947587156508486,0.834606782880847,0.7412233562135755
54,54,0.5139529172438528,0.37759933929837164,0.22287550406330878,0.18570854070827267,0.8318279883462503,0.7379605893090492
55,55,0.5150979848411477,0.381729250573012,0.22096948683165907,0.18186999342428228,0.829038993567707,0.7347065372098913
